zip,median_income,district,crime_incidents_2022,education,housing,total_population
2108,170379.0,A1,8520,75.8,2545,4218.0
2109,162179.0,A1,8520,81.5,3154,3559.0
2110,126157.0,A1,8520,85.0,2939,2337.0
2111,72321.0,A1,8520,61.5,1873,8417.0
2113,106625.0,A1,8520,81.0,2316,6688.0
2114,121418.0,A1,8520,83.9,2698,13356.0
2115,51454.0,D4,9592,67.1,1992,27838.0
2116,131648.0,D4,9592,77.3,2255,22286.0
2118,74155.0,D4,9592,54.8,1485,28392.0
2119,37158.0,B2,10031,30.8,1182,26821.0
2120,51698.0,B2,10031,43.4,1407,14364.0
2121,42411.0,B2,10031,21.0,1282,29820.0
2122,81025.0,C11,9136,35.7,1900,24705.0
2124,72189.0,C11,9136,30.3,1629,55336.0
2125,64983.0,C11,9136,40.4,1762,31903.0
2126,66689.0,B3,7316,23.6,1566,24994.0
2127,145357.0,C6,6097,70.0,2255,36175.0
2128,84023.0,A7,3719,35.6,1942,45357.0
2129,146815.0,A15,1461,70.6,1900,19832.0
2130,114933.0,E13,4295,70.7,2216,41479.0
2131,101566.0,E5,3682,50.2,1821,31637.0
2132,132457.0,E5,3682,64.4,1947,26488.0
2134,80027.0,D14,5654,76.2,2211,17969.0
2135,87603.0,D14,5654,71.0,2154,44480.0
2136,91579.0,E18,4109,32.9,1588,39498.0
2199,111786.0,D4,9592,90.5,3413,1221.0
2210,179643.0,C6,6097,93.1,3501,5706.0
2215,64138.0,D4,9592,83.7,2308,24522.0
